# Strain_x(Poisson) Strain_y(Poisson) Strain_z(longitudinal) Stress_xx(GPa) Stress_yy(GPa) Stress_zz(GPa) Stress_VM(GPa)
-0.0340145852918513 -0.0343814193353894 0.00924999999999992 0.00295619835019732 0.00526259004249033 0.0357970854101621 0.0317505804110886
-0.0346585179631985 -0.0356596941879643 0.00949999999999995 0.000808913180410423 0.0123826576030966 0.036651502151257 0.0316829572467398
-0.0352312902358252 -0.0371286208820306 0.00974999999999998 0.00144637767480613 0.00997361542821477 0.0407181022807187 0.035778524348061
-0.0357468112762264 -0.0386506573113368 0.00999999999999984 0.000192004014219899 0.00203441022471689 0.0398983239973682 0.0388179228799753
-0.036176939600686 -0.0399837021869387 0.01025 0.00203122258140654 0.00124741034220465 0.046797175978461 0.0451629610117154
-0.0366526830206167 -0.0411518134869728 0.0104999999999999 0.00484989096972043 0.00652604520143998 0.0401192074777423 0.0344618247606937
-0.0372836624386982 -0.04231265458372 0.0107499999999999 0.0117561095575102 0.00542555199026745 0.0363732387146642 0.028318177206907
-0.0382592114658023 -0.0434800062618703 0.011 0.00287859336635397 -0.000548208585709842 0.0360029335399629 0.0349639162154839
-0.039197048612669 -0.0444239990216503 0.01125 -0.000493267731295508 0.00270136919283332 0.0478449748477818 0.046822732364954
-0.0399497969836981 -0.045284792497471 0.0115 0.00659487049440316 0.00752660550683472 0.0504543599546356 0.0434011235325557
-0.0408171797968839 -0.0462661059489749 0.0117499999999999 0.00637310813375423 0.00657978188193275 0.043503395018969 0.0370273826060529
-0.0417492154930266 -0.047293085066208 0.0119999999999999 -0.000592338661446609 -0.00039185481104741 0.0435333918488664 0.0440258309460327
-0.042507258298655 -0.0481154316421636 0.0122499999999999 -0.00119359208613131 -0.00332741996994242 0.0396812633389 0.0419824598339309
-0.043168733182793 -0.0487634957867083 0.0125 0.00842779483929287 0.0126051226416069 0.0452181923066729 0.0348897959749999
-0.0440906109431765 -0.0498140627770596 0.01275 0.00714651211695831 0.00756205039213479 0.0435858556905489 0.0362333615630013
-0.0451160442452369 -0.0510506844311697 0.0129999999999999 0.000395438554106128 0.0039691043274733 0.0422372119300967 0.0401743272861753
-0.0459954016705739 -0.0521844738163963 0.0132499999999999 0.00700739415116777 -0.000509861103139922 0.0393343525124997 0.0366681245914106
-0.0469895050173741 -0.0531101275014619 0.0134999999999999 0.0105217431977533 0.0104242778054152 0.045364615565476 0.0348917071603214
-0.0481855895686461 -0.0541956908054914 0.01375 0.00499589105981588 0.00865862483964901 0.0367661814844326 0.0301064919323569
-0.0493153491363116 -0.0553796138391834 0.014 -0.00360671352841251 0.00251131899082969 0.0410876644300704 0.0419711339520977
-0.0500447907519278 -0.0563861810827478 0.0142499999999998 -0.00459674750304828 -0.000465704702743138 0.0405751243938545 0.0432545557035573
-0.0504019920434767 -0.0572085837856797 0.0145 0.000898810605710013 0.00949181803019989 0.0465145686877377 0.0419840519021546
-0.0507507130285313 -0.0582621484220743 0.0147499999999999 0.00971144936820335 0.0140449978562277 0.0469672047413896 0.0352891106229256
-0.0513372964868281 -0.0596614692962022 0.0149999999999999 0.00684365176154038 0.00733641770150181 0.0388868427512558 0.0317996716012533
-0.0520375950422403 -0.0610424553174642 0.01525 0.00329036797587382 -0.00517367914523435 0.0355449415719868 0.0372156128838981
-0.0527550835864319 -0.0619815697861288 0.0155 0.00773484682238342 0.00184019871876732 0.0446874756478374 0.0402251960443554
-0.0535491189993033 -0.0628051653252095 0.01575 0.000150125809013698 0.00988458430576747 0.0331521608775468 0.0293706836864017
-0.0542935740504514 -0.0638260094497282 0.0159999999999999 0.00679793114691719 0.00860213287173119 0.0333997866674556 0.0257472085358008
-0.0550569312093534 -0.0649611446772863 0.0162499999999999 -0.00252219692842853 0.00382535352579613 0.0384620915055134 0.0382080286921549
-0.0556244727893756 -0.0660159902828296 0.0164999999999999 -2.63983459958984e-05 -0.00389449440368141 0.0451511172371409 0.0472305097505755
-0.0561062257326992 -0.0667263718359521 0.01675 0.00804020511238622 0.0044316723435715 0.0467410368270025 0.0406254735796303
